anon_id,id,timestamp,task_id,answers
P007,79,2025-08-22 19:43:38,1,"[4,1,4,5,5,1,4,1,4,1]"
P007,80,2025-08-22 19:46:51,2,"[5,1,5,1,4,1,5,1,5,1]"
P007,81,2025-08-22 19:48:09,3,"[5,1,5,1,5,1,5,1,5,1]"
P007,82,2025-08-22 19:49:09,4,"[5,1,4,2,4,2,5,1,4,1]"
P007,83,2025-08-22 19:51:08,4,"[5,1,4,2,4,2,5,1,4,1]"
P001,84,2025-08-23 21:04:43,1,"[1,1,1,1,1,1,1,1,1,1]"
P001,85,2025-08-23 21:06:13,2,"[1,1,1,1,1,1,1,1,1,1]"
P001,86,2025-08-23 21:06:39,3,"[1,1,1,1,1,1,1,1,1,1]"
P001,87,2025-08-23 21:08:59,4,"[1,1,1,1,1,1,1,1,1,1]"
P002,88,2025-08-23 21:10:34,1,"[1,1,1,1,1,1,1,1,1,1]"
P002,89,2025-08-23 21:10:53,2,"[1,1,1,1,1,1,1,1,1,1]"
P028,90,2025-08-23 21:11:30,1,"[3,3,3,3,3,3,3,3,2,3]"
P028,91,2025-08-23 21:13:07,2,"[3,3,3,3,3,3,3,3,3,3]"
P028,92,2025-08-23 21:15:27,3,"[3,3,3,3,3,3,3,3,3,3]"
P028,93,2025-08-23 21:16:52,4,"[3,3,3,3,3,3,3,3,3,3]"
P008,94,2025-08-23 21:33:25,1,"[1,1,5,1,1,1,5,1,5,1]"
P008,95,2025-08-23 21:35:36,2,"[1,1,1,1,1,1,5,1,5,1]"
P008,96,2025-08-23 21:37:23,3,"[1,1,5,1,5,1,5,1,5,1]"
P008,97,2025-08-23 21:38:15,4,"[5,1,1,1,5,1,5,1,5,1]"
P022,98,2025-08-24 14:47:31,1,"[4,3,3,1,3,2,4,1,3,1]"
P022,99,2025-08-24 14:51:59,2,"[4,2,4,1,4,2,5,1,2,1]"
P022,100,2025-08-24 14:56:25,3,"[5,2,5,1,5,1,5,1,4,1]"
P022,101,2025-08-24 15:04:59,4,"[5,2,5,1,5,1,5,1,4,1]"
P023,102,2025-08-24 16:50:40,1,"[3,3,3,3,2,3,3,3,3,4]"
P023,103,2025-08-24 16:51:47,2,"[2,3,3,4,4,3,3,4,4,3]"
P023,104,2025-08-24 16:55:38,3,"[4,4,4,4,5,4,3,5,4,3]"
P023,105,2025-08-24 16:57:24,4,"[4,4,5,3,3,3,4,3,4,4]"
P019,106,2025-08-24 17:48:13,1,"[5,4,4,4,5,2,3,1,4,4]"
P019,107,2025-08-24 17:52:56,2,"[5,5,5,4,5,1,5,1,5,4]"
P019,108,2025-08-24 17:55:54,3,"[4,4,5,1,5,1,5,1,4,1]"
P019,109,2025-08-24 18:00:40,4,"[5,1,5,1,5,1,5,1,5,1]"
P014,110,2025-08-24 18:13:03,1,"[4,1,4,1,4,2,5,1,4,1]"
P014,111,2025-08-24 18:17:52,2,"[4,1,4,1,4,1,4,1,4,1]"
P014,112,2025-08-24 18:19:54,3,"[5,1,5,1,4,1,5,1,4,1]"
P014,113,2025-08-24 18:23:24,4,"[3,2,3,1,1,3,3,2,3,1]"
P025,114,2025-08-25 14:14:42,1,"[5,1,5,1,5,1,3,3,4,2]"
P025,115,2025-08-25 14:24:46,2,"[4,4,5,1,5,1,5,1,5,1]"
P025,116,2025-08-25 14:27:58,3,"[5,3,4,1,5,1,5,3,3,1]"
P025,117,2025-08-25 14:31:46,4,"[5,1,5,1,5,1,5,3,5,1]"
P029,118,2025-08-25 19:06:47,1,"[5,1,5,1,5,1,5,5,5,1]"
P029,119,2025-08-25 19:10:06,2,"[5,5,5,5,5,5,5,5,5,5]"
P029,120,2025-08-25 19:12:14,3,"[5,5,5,5,5,5,5,5,5,5]"
P029,121,2025-08-25 19:14:48,4,"[5,5,5,5,5,1,5,5,5,5]"
P018,122,2025-08-25 19:20:17,1,"[5,3,5,4,1,1,1,1,5,5]"
P018,123,2025-08-25 19:23:29,2,"[4,1,1,1,1,1,1,1,1,5]"
P011,124,2025-08-25 19:25:22,1,"[3,4,2,5,3,2,3,2,3,4]"
P026,125,2025-08-25 19:27:52,1,"[5,1,4,1,5,1,4,2,4,1]"
P011,126,2025-08-25 19:30:02,2,"[1,5,1,5,1,5,1,5,2,5]"
P018,127,2025-08-25 19:30:25,3,"[5,1,1,5,5,5,5,1,1,1]"
P026,128,2025-08-25 19:32:24,2,"[5,2,4,1,4,1,4,1,4,4]"
P011,129,2025-08-25 19:33:02,3,"[1,5,1,5,1,5,3,5,1,5]"
P018,130,2025-08-25 19:33:43,4,"[5,1,5,1,5,1,1,5,1,1]"
P018,131,2025-08-25 19:33:51,4,"[5,1,5,1,5,1,1,5,1,1]"
P026,132,2025-08-25 19:36:29,3,"[5,1,5,1,5,1,5,2,5,1]"
P011,133,2025-08-25 19:38:03,4,"[1,5,1,5,2,5,3,5,3,5]"
P026,134,2025-08-25 19:39:35,4,"[4,1,4,1,5,1,5,1,4,1]"
P026,135,2025-08-25 19:39:40,4,"[4,1,4,1,5,1,5,1,4,1]"
P026,136,2025-08-25 19:39:53,4,"[4,1,4,1,5,1,5,1,4,1]"
P011,137,2025-08-25 19:41:13,4,"[1,5,1,5,2,5,3,5,3,5]"
P011,138,2025-08-25 19:41:19,4,"[1,5,1,5,2,5,3,5,3,5]"
P018,139,2025-08-25 19:42:29,4,"[5,1,5,1,5,1,1,5,1,1]"
P024,140,2025-08-25 20:53:37,1,"[5,2,1,1,5,1,3,1,5,1]"
P024,141,2025-08-25 20:58:48,2,"[3,1,3,1,3,2,3,1,3,1]"
P024,142,2025-08-25 21:02:05,3,"[5,1,4,1,2,1,3,1,3,1]"
P024,143,2025-08-25 21:06:57,4,"[4,1,4,1,4,1,4,1,4,1]"
P024,144,2025-08-25 21:13:53,4,"[4,1,4,1,4,1,4,1,4,1]"
P012,145,2025-08-26 11:26:26,1,"[5,4,5,1,4,4,5,3,5,1]"
P021,146,2025-08-26 11:27:31,1,"[1,5,1,4,1,5,1,1,1,3]"
P012,147,2025-08-26 11:31:14,2,"[5,1,4,2,5,1,5,1,4,2]"
P021,148,2025-08-26 11:31:30,2,"[1,5,1,4,1,4,1,1,1,1]"
P021,149,2025-08-26 11:32:06,3,"[1,4,1,4,1,4,1,1,1,1]"
P021,150,2025-08-26 11:32:52,4,"[1,4,1,4,1,4,1,1,1,1]"
P012,151,2025-08-26 11:33:08,3,"[5,1,5,1,5,3,5,2,5,1]"
P012,152,2025-08-26 11:34:58,4,"[5,1,5,1,5,2,5,1,5,1]"
