anon_id,age,nationality,task_id,user_preference,answers
P013,24,Nepalese,1,optimized,"[4,3,4,2,3,4,4,3,4,3]"
P013,24,Nepalese,1,optimized,"[4,3,4,2,3,4,4,3,4,3]"
P013,24,Nepalese,2,original,"[4,2,4,4,1,3,1,3,4,4]"
P013,24,Nepalese,3,original,"[4,2,4,2,3,1,4,2,4,3]"
P013,24,Nepalese,4,optimized,"[3,2,5,2,3,2,3,1,3,2]"
P017,24,Indian,1,original,"[4,2,5,1,4,2,4,1,4,2]"
P017,24,Indian,1,original,"[4,2,5,1,4,2,4,1,4,2]"
P017,24,Indian,2,original,"[4,1,4,1,4,2,5,1,5,1]"
P017,24,Indian,3,optimized,"[4,1,4,1,4,2,4,1,3,2]"
P017,24,Indian,3,optimized,"[4,1,4,1,4,2,4,1,3,2]"
P017,24,Indian,4,optimized,"[4,1,4,1,2,2,3,1,4,2]"
P017,24,Indian,4,optimized,"[4,1,4,1,2,2,3,1,4,2]"
P015,27,Indian,1,original,"[1,3,3,3,1,3,1,1,1,4]"
P015,27,Indian,2,optimized,"[1,3,3,5,1,5,1,1,1,3]"
P015,27,Indian,3,optimized,"[1,2,3,1,2,2,1,1,3,1]"
P015,27,Indian,4,original,"[1,1,1,5,1,1,1,1,1,5]"
P015,27,Indian,4,original,"[1,1,1,5,1,1,1,1,1,5]"
P010,26,Pakistan,1,original,"[2,4,3,1,3,3,4,1,1,1]"
P010,26,Pakistan,2,optimized,"[3,1,4,1,3,2,5,1,4,2]"
P010,26,Pakistan,3,original,"[4,2,4,1,3,1,1,1,4,1]"
P010,26,Pakistan,4,optimized,"[4,1,4,1,4,1,4,1,4,1]"
P006,23,Indian,1,optimized,"[3,2,5,1,3,1,4,3,4,4]"
P006,23,Indian,2,original,"[5,2,4,1,4,1,3,4,2,4]"
P006,23,Indian,3,original,"[4,2,4,2,4,3,4,3,5,5]"
P006,23,Indian,4,optimized,"[3,3,4,1,3,1,3,4,3,1]"
P006,23,Indian,4,optimized,"[3,3,4,1,3,1,3,4,3,1]"
P007,27,Bangladeshi,1,optimized,"[4,1,4,5,5,1,4,1,4,1]"
P007,27,Bangladeshi,2,original,"[5,1,5,1,4,1,5,1,5,1]"
P007,27,Bangladeshi,3,original,"[5,1,5,1,5,1,5,1,5,1]"
P007,27,Bangladeshi,4,original,"[5,1,4,2,4,2,5,1,4,1]"
P007,27,Bangladeshi,4,original,"[5,1,4,2,4,2,5,1,4,1]"
P028,28,Bangladeshi,1,original,"[3,3,3,3,3,3,3,3,2,3]"
P002,  ,,1,original,"[1,1,1,1,1,1,1,1,1,1]"
P028,28,Bangladeshi,1,original,"[3,3,3,3,3,3,3,3,2,3]"
P002,  ,,2,original,"[1,1,1,1,1,1,1,1,1,1]"
P028,28,Bangladeshi,2,original,"[3,3,3,3,3,3,3,3,3,3]"
P028,28,Bangladeshi,3,optimized,"[3,3,3,3,3,3,3,3,3,3]"
P028,28,Bangladeshi,4,original,"[3,3,3,3,3,3,3,3,3,3]"
P008,24,Indian,1,original,"[1,1,5,1,1,1,5,1,5,1]"
P008,24,Indian,2,optimized,"[1,1,1,1,1,1,5,1,5,1]"
P008,24,Indian,3,optimized,"[1,1,5,1,5,1,5,1,5,1]"
P008,24,Indian,4,optimized,"[5,1,1,1,5,1,5,1,5,1]"
P022,27,Indian,1,optimized,"[4,3,3,1,3,2,4,1,3,1]"
P022,27,Indian,1,optimized,"[4,3,3,1,3,2,4,1,3,1]"
P022,27,Indian,2,original,"[4,2,4,1,4,2,5,1,2,1]"
P022,27,Indian,2,original,"[4,2,4,1,4,2,5,1,2,1]"
P022,27,Indian,3,optimized,"[5,2,5,1,5,1,5,1,4,1]"
P022,27,Indian,3,optimized,"[5,2,5,1,5,1,5,1,4,1]"
P022,27,Indian,4,optimized,"[5,2,5,1,5,1,5,1,4,1]"
P022,27,Indian,4,optimized,"[5,2,5,1,5,1,5,1,4,1]"
P023,28,Bangladeshi,1,optimized,"[3,3,3,3,2,3,3,3,3,4]"
P023,28,Bangladeshi,2,original,"[2,3,3,4,4,3,3,4,4,3]"
P023,28,Bangladeshi,2,original,"[2,3,3,4,4,3,3,4,4,3]"
P023,28,Bangladeshi,3,optimized,"[4,4,4,4,5,4,3,5,4,3]"
P023,28,Bangladeshi,4,original,"[4,4,5,3,3,3,4,3,4,4]"
P019,27,Indian,1,original,"[5,4,4,4,5,2,3,1,4,4]"
P019,27,Indian,1,original,"[5,4,4,4,5,2,3,1,4,4]"
P019,27,Indian,1,original,"[5,4,4,4,5,2,3,1,4,4]"
P019,27,Indian,2,optimized,"[5,5,5,4,5,1,5,1,5,4]"
P019,27,Indian,3,optimized,"[4,4,5,1,5,1,5,1,4,1]"
P019,27,Indian,4,original,"[5,1,5,1,5,1,5,1,5,1]"
P014,27,Indian,1,original,"[4,1,4,1,4,2,5,1,4,1]"
P014,27,Indian,1,original,"[4,1,4,1,4,2,5,1,4,1]"
P014,27,Indian,2,original,"[4,1,4,1,4,1,4,1,4,1]"
P014,27,Indian,2,original,"[4,1,4,1,4,1,4,1,4,1]"
P014,27,Indian,3,original,"[5,1,5,1,4,1,5,1,4,1]"
P014,27,Indian,3,original,"[5,1,5,1,4,1,5,1,4,1]"
P014,27,Indian,4,original,"[3,2,3,1,1,3,3,2,3,1]"
P014,27,Indian,4,original,"[3,2,3,1,1,3,3,2,3,1]"
P025,23,Indian,1,original,"[5,1,5,1,5,1,3,3,4,2]"
P025,23,Indian,2,original,"[4,4,5,1,5,1,5,1,5,1]"
P025,23,Indian,3,optimized,"[5,3,4,1,5,1,5,3,3,1]"
P025,23,Indian,4,optimized,"[5,1,5,1,5,1,5,3,5,1]"
P029,31,Indian,1,original,"[5,1,5,1,5,1,5,5,5,1]"
P029,31,Indian,2,original,"[5,5,5,5,5,5,5,5,5,5]"
P029,31,Indian,3,optimized,"[5,5,5,5,5,5,5,5,5,5]"
P029,31,Indian,4,optimized,"[5,5,5,5,5,1,5,5,5,5]"
P026,28,Indian,1,original,"[5,1,4,1,5,1,4,2,4,1]"
P018,24,Indian,1,original,"[5,3,5,4,1,1,1,1,5,5]"
P011,28,Indian,1,original,"[3,4,2,5,3,2,3,2,3,4]"
P011,28,Indian,1,optimized,"[3,4,2,5,3,2,3,2,3,4]"
P011,28,Indian,1,original,"[3,4,2,5,3,2,3,2,3,4]"
P011,28,Indian,1,original,"[3,4,2,5,3,2,3,2,3,4]"
P018,24,Indian,2,original,"[4,1,1,1,1,1,1,1,1,5]"
P018,24,Indian,3,optimized,"[5,1,1,5,5,5,5,1,1,1]"
P026,28,Indian,1,original,"[5,1,4,1,5,1,4,2,4,1]"
P011,28,Indian,2,original,"[1,5,1,5,1,5,1,5,2,5]"
P011,28,Indian,2,original,"[1,5,1,5,1,5,1,5,2,5]"
P026,28,Indian,2,original,"[5,2,4,1,4,1,4,1,4,4]"
P026,28,Indian,2,original,"[5,2,4,1,4,1,4,1,4,4]"
P011,28,Indian,3,optimized,"[1,5,1,5,1,5,3,5,1,5]"
P018,24,Indian,4,original,"[5,1,5,1,5,1,1,5,1,1]"
P018,24,Indian,4,original,"[5,1,5,1,5,1,1,5,1,1]"
P018,24,Indian,4,original,"[5,1,5,1,5,1,1,5,1,1]"
P026,28,Indian,3,original,"[5,1,5,1,5,1,5,2,5,1]"
P011,28,Indian,4,original,"[1,5,1,5,2,5,3,5,3,5]"
P011,28,Indian,4,original,"[1,5,1,5,2,5,3,5,3,5]"
P011,28,Indian,4,original,"[1,5,1,5,2,5,3,5,3,5]"
P026,28,Indian,4,optimized,"[4,1,4,1,5,1,5,1,4,1]"
P026,28,Indian,4,optimized,"[4,1,4,1,5,1,5,1,4,1]"
P026,28,Indian,4,optimized,"[4,1,4,1,5,1,5,1,4,1]"
P024,29,Indian,1,original,"[5,2,1,1,5,1,3,1,5,1]"
P024,29,Indian,2,original,"[3,1,3,1,3,2,3,1,3,1]"
P024,29,Indian,3,optimized,"[5,1,4,1,2,1,3,1,3,1]"
P024,29,Indian,4,optimized,"[4,1,4,1,4,1,4,1,4,1]"
P024,29,Indian,4,optimized,"[4,1,4,1,4,1,4,1,4,1]"
P012,23,Indian,1,original,"[5,4,5,1,4,4,5,3,5,1]"
P021,21,Indian,1,original,"[1,5,1,4,1,5,1,1,1,3]"
P012,23,Indian,2,original,"[5,1,4,2,5,1,5,1,4,2]"
P021,21,Indian,2,original,"[1,5,1,4,1,4,1,1,1,1]"
P021,21,Indian,3,original,"[1,4,1,4,1,4,1,1,1,1]"
P021,21,Indian,4,optimized,"[1,4,1,4,1,4,1,1,1,1]"
P012,23,Indian,3,original,"[5,1,5,1,5,3,5,2,5,1]"
P012,23,Indian,4,optimized,"[5,1,5,1,5,2,5,1,5,1]"
